SPL,TMS,TDI,TDO,CST,FST,HCST,HFST
749,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
750,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
751,1,1,0,4,5,ST_SHIFT_DR,ST_EXIT1_DR
752,1,1,0,5,8,ST_EXIT1_DR,ST_UPDATE_DR
753,0,1,0,8,1,ST_UPDATE_DR,ST_RUN_TEST_IDLE
754,0,0,0,1,1,ST_RUN_TEST_IDLE,ST_RUN_TEST_IDLE
755,1,0,0,1,2,ST_RUN_TEST_IDLE,ST_SELECT_DR_SCAN
756,1,0,0,2,9,ST_SELECT_DR_SCAN,ST_SELECT_IR_SCAN
757,0,0,0,9,10,ST_SELECT_IR_SCAN,ST_CAPTURE_IR
758,0,0,0,10,11,ST_CAPTURE_IR,ST_SHIFT_IR
759,0,0,1,11,11,ST_SHIFT_IR,ST_SHIFT_IR
760,0,0,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
761,0,1,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
762,0,0,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
763,0,1,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
764,0,1,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
765,0,1,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
766,1,0,0,11,12,ST_SHIFT_IR,ST_EXIT1_IR
767,1,0,0,12,15,ST_EXIT1_IR,ST_UPDATE_IR
768,0,0,0,15,1,ST_UPDATE_IR,ST_RUN_TEST_IDLE
769,1,0,0,1,2,ST_RUN_TEST_IDLE,ST_SELECT_DR_SCAN
770,0,0,0,2,3,ST_SELECT_DR_SCAN,ST_CAPTURE_DR
771,0,0,0,3,4,ST_CAPTURE_DR,ST_SHIFT_DR
772,0,0,1,4,4,ST_SHIFT_DR,ST_SHIFT_DR
773,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
774,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
775,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
776,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
777,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
778,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
779,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
780,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
781,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
782,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
783,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
784,0,0,1,4,4,ST_SHIFT_DR,ST_SHIFT_DR
785,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
786,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
