SPL,TMS,TDI,TDO,CST,FST,HCST,HFST
     1687,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1688,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1689,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1690,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1691,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1692,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1693,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1694,0,0,1,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1695,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1696,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1697,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1698,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1699,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1700,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1701,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1702,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1703,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1704,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1705,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1706,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1707,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1708,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1709,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1710,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1711,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1712,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1713,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1714,1,0,0,4,5,ST_SHIFT_DR,ST_EXIT1_DR
     1715,1,0,0,5,8,ST_EXIT1_DR,ST_UPDATE_DR
     1716,0,0,0,8,1,ST_UPDATE_DR,ST_RUN_TEST_IDLE
     1717,0,0,0,1,1,ST_RUN_TEST_IDLE,ST_RUN_TEST_IDLE
