SPL,TMS,TDI,TDO,CST,FST,HCST,HFST
1996,1,0,0,11,12,ST_SHIFT_IR,ST_EXIT1_IR
1997,1,0,0,12,15,ST_EXIT1_IR,ST_UPDATE_IR
1998,0,0,0,15,1,ST_UPDATE_IR,ST_RUN_TEST_IDLE
1999,1,0,0,1,2,ST_RUN_TEST_IDLE,ST_SELECT_DR_SCAN
2000,0,0,0,2,3,ST_SELECT_DR_SCAN,ST_CAPTURE_DR
2001,0,0,0,3,4,ST_CAPTURE_DR,ST_SHIFT_DR
2002,0,0,1,4,4,ST_SHIFT_DR,ST_SHIFT_DR
2003,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
2004,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
2005,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
2006,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
2007,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
2008,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
2009,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
2010,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
2011,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
2012,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
2013,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
2014,0,1,1,4,4,ST_SHIFT_DR,ST_SHIFT_DR
2015,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
2016,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
2017,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
2018,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
2019,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
2020,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
2021,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
2022,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
2023,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
2024,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
2025,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
2026,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
2027,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
2028,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
2029,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
2030,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
2031,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
2032,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
2033,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
2034,1,1,0,4,5,ST_SHIFT_DR,ST_EXIT1_DR
2035,1,1,0,5,8,ST_EXIT1_DR,ST_UPDATE_DR
2036,0,1,0,8,1,ST_UPDATE_DR,ST_RUN_TEST_IDLE
2037,0,0,0,1,1,ST_RUN_TEST_IDLE,ST_RUN_TEST_IDLE
2038,1,0,0,1,2,ST_RUN_TEST_IDLE,ST_SELECT_DR_SCAN
2039,1,0,0,2,9,ST_SELECT_DR_SCAN,ST_SELECT_IR_SCAN
2040,0,0,0,9,10,ST_SELECT_IR_SCAN,ST_CAPTURE_IR
2041,0,0,0,10,11,ST_CAPTURE_IR,ST_SHIFT_IR
2042,0,0,1,11,11,ST_SHIFT_IR,ST_SHIFT_IR
2043,0,0,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
2044,0,1,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
2045,0,0,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
2046,0,1,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
2047,0,1,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
2048,0,1,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
2049,1,0,0,11,12,ST_SHIFT_IR,ST_EXIT1_IR
2050,1,0,0,12,15,ST_EXIT1_IR,ST_UPDATE_IR
2051,0,0,0,15,1,ST_UPDATE_IR,ST_RUN_TEST_IDLE
2052,1,0,0,1,2,ST_RUN_TEST_IDLE,ST_SELECT_DR_SCAN
