Sample   	JTAG        	CLK	TCK	TMS	TRST	TDI	TDO	HALT	 Timestamp
      760	0001001     	0  	0  	0  	1   	0  	0  	1   	<40,875 us
      761	0011001     	0  	0  	1  	1   	0  	0  	1   	 41.625 ns
      762	0011001     	0  	0  	1  	1   	0  	0  	1   	 41.625 ns
      763	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
      764	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.750 ns
      765	0001011     	0  	0  	0  	1   	0  	1  	1   	270.875 ns
      766	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.500 ns
      767	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.875 ns
      768	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.500 ns
      769	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.750 ns
      770	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.750 ns
      771	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.500 ns
      772	0011101     	0  	0  	1  	1   	1  	0  	1   	271.000 ns
      773	0011101     	0  	0  	1  	1   	1  	0  	1   	 41.500 ns
      774	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.750 ns
      775	0011001     	0  	0  	1  	1   	0  	0  	1   	270.750 ns
      776	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
      777	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
      778	0001001     	0  	0  	0  	1   	0  	0  	1   	333.375 ns
      779	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
      780	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.750 ns
      781	0001011     	0  	0  	0  	1   	0  	1  	1   	 41.500 ns
      782	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.875 ns
      783	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.500 ns
      784	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
      785	0001111     	0  	0  	0  	1   	1  	1  	1   	 41.750 ns
      786	0001001     	0  	0  	0  	1   	0  	0  	1   	250.000 ns
      787	0001011     	0  	0  	0  	1   	0  	1  	1   	 41.625 ns
      788	0001011     	0  	0  	0  	1   	0  	1  	1   	 41.750 ns
      789	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.500 ns
      790	0001011     	0  	0  	0  	1   	0  	1  	1   	 41.750 ns
      791	0001011     	0  	0  	0  	1   	0  	1  	1   	 41.750 ns
      792	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.500 ns
      793	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.750 ns
      794	0001001     	0  	0  	0  	1   	0  	0  	1   	250.000 ns
      795	0001011     	0  	0  	0  	1   	0  	1  	1   	 41.625 ns
      796	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.750 ns
      797	0001011     	0  	0  	0  	1   	0  	1  	1   	 41.625 ns
      798	0001011     	0  	0  	0  	1   	0  	1  	1   	 41.750 ns
      799	0001011     	0  	0  	0  	1   	0  	1  	1   	 41.625 ns
      800	0001011     	0  	0  	0  	1   	0  	1  	1   	 41.625 ns
      801	0001011     	0  	0  	0  	1   	0  	1  	1   	 41.625 ns
      802	0001011     	0  	0  	0  	1   	0  	1  	1   	250.000 ns
      803	0001011     	0  	0  	0  	1   	0  	1  	1   	 41.750 ns
      804	0001011     	0  	0  	0  	1   	0  	1  	1   	 41.625 ns
      805	0001011     	0  	0  	0  	1   	0  	1  	1   	 41.625 ns
      806	0001011     	0  	0  	0  	1   	0  	1  	1   	 41.625 ns
      807	0001011     	0  	0  	0  	1   	0  	1  	1   	 41.750 ns
      808	0001011     	0  	0  	0  	1   	0  	1  	1   	 41.625 ns
      809	0001011     	0  	0  	0  	1   	0  	1  	1   	 41.750 ns
      810	0011001     	0  	0  	1  	1   	0  	0  	1   	374.875 ns
      811	0011001     	0  	0  	1  	1   	0  	0  	1   	 41.625 ns
      812	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.750 ns
      813	0001001     	0  	0  	0  	1   	0  	0  	1   	<28,000 us
      814	0011001     	0  	0  	1  	1   	0  	0  	1   	 41.625 ns
      815	0011001     	0  	0  	1  	1   	0  	0  	1   	 41.625 ns
      816	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
      817	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.750 ns
      818	0001011     	0  	0  	0  	1   	0  	1  	1   	270.750 ns
      819	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
      820	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.750 ns
      821	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
      822	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.750 ns
      823	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.625 ns
      824	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
      825	0011101     	0  	0  	1  	1   	1  	0  	1   	270.875 ns
      826	0011101     	0  	0  	1  	1   	1  	0  	1   	 41.625 ns
      827	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.750 ns
      828	0011001     	0  	0  	1  	1   	0  	0  	1   	270.750 ns
      829	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
      830	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
