Sample   	JTAG        	CLK	TCK	TMS	TRST	TDI	TDO	HALT	 Timestamp
     1848	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.750 ns
     1849	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.500 ns
     1850	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.750 ns
     1851	0001001     	0  	0  	0  	1   	0  	0  	1   	125.000 ns
     1852	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.750 ns
     1853	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.500 ns
     1854	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.750 ns
     1855	0001111     	0  	0  	0  	1   	1  	1  	1   	 41.625 ns
     1856	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.625 ns
     1857	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.625 ns
     1858	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.750 ns
     1859	0001101     	0  	0  	0  	1   	1  	0  	1   	125.000 ns
     1860	0001111     	0  	0  	0  	1   	1  	1  	1   	 41.625 ns
     1861	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
     1862	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.750 ns
     1863	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.750 ns
     1864	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.500 ns
     1865	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
     1866	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.750 ns
     1867	0001001     	0  	0  	0  	1   	0  	0  	1   	125.000 ns
     1868	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.750 ns
     1869	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.625 ns
     1870	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.625 ns
     1871	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.750 ns
     1872	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.625 ns
     1873	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.625 ns
     1874	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
     1875	0011101     	0  	0  	1  	1   	1  	0  	1   	271.000 ns
     1876	0011101     	0  	0  	1  	1   	1  	0  	1   	 41.500 ns
     1877	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.750 ns
     1878	0001001     	0  	0  	0  	1   	0  	0  	1   	270.750 ns
     1879	0011001     	0  	0  	1  	1   	0  	0  	1   	 41.625 ns
     1880	0011001     	0  	0  	1  	1   	0  	0  	1   	 41.625 ns
     1881	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.750 ns
     1882	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
     1883	0001011     	0  	0  	0  	1   	0  	1  	1   	270.875 ns
     1884	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.500 ns
     1885	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.875 ns
     1886	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.500 ns
     1887	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.750 ns
     1888	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.750 ns
     1889	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.500 ns
     1890	0011001     	0  	0  	1  	1   	0  	0  	1   	271.000 ns
     1891	0011001     	0  	0  	1  	1   	0  	0  	1   	 41.625 ns
     1892	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
     1893	0011001     	0  	0  	1  	1   	0  	0  	1   	270.750 ns
     1894	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
     1895	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.750 ns
     1896	0001011     	0  	0  	0  	1   	0  	1  	1   	333.375 ns
     1897	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.500 ns
     1898	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.750 ns
     1899	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
     1900	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.750 ns
     1901	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.625 ns
     1902	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.500 ns
     1903	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.750 ns
     1904	0001101     	0  	0  	0  	1   	1  	0  	1   	125.125 ns
     1905	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.500 ns
     1906	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.750 ns
     1907	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
     1908	0001011     	0  	0  	0  	1   	0  	1  	1   	 41.625 ns
     1909	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.750 ns
     1910	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
     1911	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
     1912	0001001     	0  	0  	0  	1   	0  	0  	1   	125.125 ns
     1913	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
     1914	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
     1915	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
     1916	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.750 ns
     1917	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.750 ns
     1918	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.500 ns
     1919	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.750 ns
     1920	0001001     	0  	0  	0  	1   	0  	0  	1   	125.000 ns
     1921	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
     1922	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.750 ns
     1923	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.625 ns
     1924	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.625 ns
     1925	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.625 ns
     1926	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.625 ns
     1927	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
     1928	0011101     	0  	0  	1  	1   	1  	0  	1   	271.000 ns
     1929	0011101     	0  	0  	1  	1   	1  	0  	1   	 41.625 ns
     1930	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.625 ns
     1931	0001001     	0  	0  	0  	1   	0  	0  	1   	270.875 ns
     1932	0011001     	0  	0  	1  	1   	0  	0  	1   	 41.500 ns
     1933	0011001     	0  	0  	1  	1   	0  	0  	1   	 41.750 ns
     1934	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
     1935	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
     1936	0001011     	0  	0  	0  	1   	0  	1  	1   	270.875 ns
     1937	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
     1938	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.750 ns
